D	P	C	O	F	G	S	A1	A10	A11	A12	A14	A15	A16	A17	A19	A22	A23	A24	A25	A26	A28	A29	A3	A30	A31	A32	A33	A35	A37	A4	A40	A42	A43	A44	A45	A46	A49	A5	A52	A53	A54	A55	A56	A57	A61	A62	A64	A65	A66	A67	A68	A69	A7	A72	A73	A75	A76	A78	A79	A8	A81	A82	A83	A84	A86	A9	A91	A92
Bacteria	Firmicutes	Clostridia	Eubacteriales	Lachnospiraceae	Mediterraneibacter	[Ruminococcus].torques	0.13242	0.06646	2.00E-04	0.125	0.01612	0	0.03336	0.0234	0	0.06497	0.01606	0.00728	0.04089	0.16414	0.03861	0.09551	0	0.00983	0.20784	0.00328	0.00609	0.16138	0	0	0.01417	0.00481	0	0	0.00758	0	0.00217	0.00184	0	0.03316	0.00607	0.00222	0	0.00384	0.02727	0.07259	0.08446	0	0	0	0.00349	0.00648	0.05788	0.00559	0	0.12044	0.07711	0.00712	0.00334	0	0	0	0.00596	0.06232	0.00586	0.00056	0.0017	0.08799
Bacteria	Firmicutes	Bacilli	Lactobacillales	Aerococcaceae	Abiotrophia	Abiotrophia.defectiva	0	0	0	5.00E-05	0	0	0	0	0	0	0	0	0	0	1.00E-05	0	0	4.00E-05	0	0	0	0.00033	0	0	0	0	0	0	3.00E-05	0	0	0	0	0	0.00209	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.00E-05
Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Abyssicoccus	Abyssicoccus.albus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.00E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00035	0	0	0	0	0	0	0	0	0	0.00161	0	0.0015	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.00E-05	0
Viruses	Nucleocytoviricota	Megaviricetes	Imitervirales	Mimiviridae	Mimivirus	Acanthamoeba.polyphaga.mimivirus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.00E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria	Cyanobacteria	NA	Synechococcales	Acaryochloridaceae	Acaryochloris	Acaryochloris.marina	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.00E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria	Cyanobacteria	NA	Synechococcales	Acaryochloridaceae	Acaryochloris	Acaryochloris.sp..'Moss.Beach'	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.00E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	1.00E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Acetilactobacillus	Acetilactobacillus.jinshanensis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.00E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria	Firmicutes	Clostridia	Eubacteriales	Oscillospiraceae	Acetivibrio	Acetivibrio.clariflavus	0	0	0	0	0	0	0	0	0	0	0.00069	0	0	0	1.00E-05	0	0	0.00013	0	0.00043	0.00015	0	0	0	0	0	0	0	4.00E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00016	0	0	0	0	2.00E-05
Bacteria	Firmicutes	Clostridia	Eubacteriales	Oscillospiraceae	Acetivibrio	Acetivibrio.saccincola	0	0	0	7.00E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	5.00E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.00E-05	0	0	0	0	1.00E-05
Bacteria	Firmicutes	Clostridia	Eubacteriales	Oscillospiraceae	Acetivibrio	Acetivibrio.thermocellus	0	0	0	5.00E-05	0	0	0	0	0	0	0	0	0	0	3.00E-05	0	0	4.00E-05	0	0	0	0	0	0	0	0	0	0	4.00E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00036	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.00E-05
Bacteria	Firmicutes	Clostridia	Eubacteriales	Peptostreptococcaceae	Acetoanaerobium	Acetoanaerobium.sticklandii	0	0	0	5.00E-05	0	0	0	0.00189	0	0	0	0	0	0	1.00E-05	0	0	3.00E-05	0	0	0	0	0	0	0	0	0	0	3.00E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00251	0	0	0	0	0	0	0	0	0	0	0	0	1.00E-05
Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Acetobacter	Acetobacter.ascendens	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.00E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria	Firmicutes	Clostridia	Eubacteriales	Eubacteriaceae	Acetobacterium	Acetobacterium.sp..KB-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.00E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria	Firmicutes	Clostridia	Eubacteriales	Eubacteriaceae	Acetobacterium	Acetobacterium.woodii	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.00E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.00E-05
Bacteria	Firmicutes	Clostridia	Halanaerobiales	Halobacteroidaceae	Acetohalobium	Acetohalobium.arabaticum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.00E-05	0	0	0	0	0	0	0	0	0	0	1.00E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Alcaligenaceae	Achromobacter	Achromobacter.deleyi	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.00E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00043	0	0	0	0	0	0	0	0	0	0	0	6.00E-05	0	4.00E-04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Alcaligenaceae	Achromobacter	Achromobacter.denitrificans	0	0	0	0	0	0	0	0	0	0	0	0.00127	0	0	0	0	0	1.00E-05	0	0	0.00016	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00041	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.00E-05
Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Alcaligenaceae	Achromobacter	Achromobacter.insolitus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00236	1.00E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00167	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00529	0	0	0	0	0	0	0
Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Alcaligenaceae	Achromobacter	Achromobacter.mucicolens	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00198	0	0	0	0	0	0	0	0	0	0	0	0
